                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 8.1156,                 3.8652,                 2.7682,                 0.3465,                0.31109,                0.10073,                0.03231,                   4.39,                 3.0492,                 2.0739,             0.00041504,             0.00041504,             0.00041504
                      1,                 4.3759,                 2.7738,                 1.9583,                0.27589,                0.37423,                0.22329,                0.08937,                 2.6946,                 2.2468,                   1.62,             0.00082896,             0.00082896,             0.00082896
                      2,                 3.2938,                 2.4452,                 1.6977,                0.34167,                0.42851,                0.30286,                0.13489,                 2.1545,                 2.1208,                  1.483,              0.0012401,              0.0012401,              0.0012401
                      3,                 2.9063,                 2.2688,                 1.5944,                0.31237,                 0.4524,                0.37586,                0.17096,                 2.0105,                 1.7957,                 1.4431,              0.0012376,              0.0012376,              0.0012376
                      4,                 2.6545,                  2.119,                 1.5354,                0.39154,                0.55125,                0.43461,                0.21779,                 1.7416,                 1.7445,                 1.3708,              0.0012376,              0.0012376,              0.0012376
                      5,                 2.6026,                 2.0604,                 1.5159,                 0.3896,                0.50607,                0.45176,                0.21973,                 1.7115,                 1.6351,                  1.353,              0.0012335,              0.0012335,              0.0012335
                      6,                 2.4629,                 1.9857,                 1.4871,                0.37386,                0.54019,                0.44395,                0.20355,                 1.8155,                  1.644,                 1.3817,              0.0012294,              0.0012294,              0.0012294
                      7,                 2.3997,                 1.9332,                 1.4678,                0.40252,                 0.5787,                 0.5005,                0.24345,                 1.7608,                 1.5151,                 1.3662,              0.0012252,              0.0012252,              0.0012252
                      8,                 2.3749,                 1.9037,                 1.4552,                0.41709,                0.55383,                0.48774,                0.24303,                 1.6729,                 1.5658,                 1.3255,              0.0012211,              0.0012211,              0.0012211
                      9,                 2.3368,                 1.8641,                 1.4452,                0.49106,                0.54391,                0.53104,                0.26847,                 1.6158,                  1.473,                 1.3226,               0.001217,               0.001217,               0.001217
                     10,                 2.3297,                 1.8372,                 1.4371,                0.50285,                 0.5435,                0.55306,                0.29305,                 1.5702,                 1.4415,                 1.3009,              0.0012129,              0.0012129,              0.0012129
                     11,                 2.3018,                 1.8155,                 1.4259,                0.54212,                0.59396,                0.58383,                0.29784,                 1.5948,                 1.4652,                 1.3071,              0.0012087,              0.0012087,              0.0012087
                     12,                 2.2963,                 1.8038,                  1.426,                0.50684,                0.58113,                 0.5835,                0.30605,                 1.6688,                 1.4366,                 1.3335,              0.0012046,              0.0012046,              0.0012046
                     13,                 2.2816,                 1.7761,                 1.4175,                 0.5346,                0.58432,                0.56175,                0.28317,                 1.6859,                 1.3953,                 1.3137,              0.0012005,              0.0012005,              0.0012005
                     14,                 2.2969,                 1.7682,                 1.4156,                0.52982,                0.66214,                0.60802,                0.31402,                 1.7088,                 1.3745,                 1.3576,              0.0011964,              0.0011964,              0.0011964
