                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 10.794,                 2.9431,                 3.2549,                0.38543,                0.25112,                0.18055,                0.06742,                 2.6375,                 2.1514,                  2.452,             0.00041504,             0.00041504,             0.00041504
                      1,                 3.3215,                 2.0951,                 2.1103,                0.48437,                0.32516,                0.29892,                0.13511,                 1.8699,                 1.9046,                 2.0022,             0.00082896,             0.00082896,             0.00082896
                      2,                 2.6754,                 1.9117,                 1.8759,                0.37711,                0.50333,                0.42369,                0.19805,                 1.7883,                 1.6167,                 1.9304,              0.0012401,              0.0012401,              0.0012401
                      3,                 2.3685,                 1.7804,                 1.7965,                0.47063,                0.56964,                0.51193,                0.25913,                 1.5338,                 1.6469,                 1.7933,              0.0012376,              0.0012376,              0.0012376
                      4,                 2.2448,                 1.7119,                 1.7627,                0.47397,                0.47456,                 0.4692,                 0.2285,                 1.5116,                 1.6643,                 1.8175,              0.0012376,              0.0012376,              0.0012376
                      5,                 2.1732,                 1.6759,                 1.7208,                0.36075,                 0.5554,                0.48924,                0.25708,                 1.4811,                 1.5918,                 1.7441,              0.0012335,              0.0012335,              0.0012335
                      6,                 2.0727,                 1.6279,                  1.685,                0.43799,                0.55936,                0.52856,                0.27312,                 1.5499,                 1.4402,                 1.7634,              0.0012294,              0.0012294,              0.0012294
                      7,                 2.0216,                 1.5816,                 1.6753,                0.54091,                 0.5662,                 0.5718,                0.30266,                 1.4962,                 1.4133,                 1.7534,              0.0012252,              0.0012252,              0.0012252
                      8,                 1.9989,                 1.5388,                 1.6521,                0.52413,                0.62639,                0.59138,                 0.3039,                 1.4978,                 1.3771,                 1.7409,              0.0012211,              0.0012211,              0.0012211
                      9,                 1.9493,                 1.4979,                 1.6412,                0.51937,                0.62948,                0.61409,                 0.3226,                 1.4504,                 1.4072,                 1.7425,               0.001217,               0.001217,               0.001217
                     10,                 1.9625,                 1.4739,                 1.6308,                0.56415,                0.61563,                0.63394,                0.33945,                 1.4221,                 1.3274,                 1.7014,              0.0012129,              0.0012129,              0.0012129
                     11,                 1.9321,                 1.4657,                 1.6363,                0.56515,                0.64709,                0.64598,                0.35629,                 1.4348,                 1.2583,                 1.6939,              0.0012087,              0.0012087,              0.0012087
                     12,                 1.8863,                 1.4307,                 1.6179,                0.59538,                0.63319,                0.64279,                0.35293,                 1.4011,                 1.2593,                 1.6824,              0.0012046,              0.0012046,              0.0012046
                     13,                 1.8741,                 1.4433,                 1.6106,                0.58624,                0.58364,                0.61785,                0.33992,                 1.4765,                 1.3497,                   1.68,              0.0012005,              0.0012005,              0.0012005
                     14,                 1.8797,                 1.4022,                 1.6066,                 0.5874,                0.65604,                0.65633,                0.35759,                 1.4697,                 1.2775,                 1.6689,              0.0011964,              0.0011964,              0.0011964
                     15,                 1.8705,                 1.3884,                 1.6038,                0.56881,                0.65696,                0.64084,                0.34609,                 1.5212,                  1.296,                 1.6975,              0.0011922,              0.0011922,              0.0011922
                     16,                 1.8251,                 1.3646,                 1.5883,                 0.6292,                0.67028,                0.66725,                0.36069,                 1.4747,                 1.2277,                 1.6938,              0.0011881,              0.0011881,              0.0011881
                     17,                 1.8414,                 1.3582,                 1.5873,                0.59785,                0.68769,                0.67812,                0.37452,                 1.5126,                 1.2225,                 1.6754,               0.001184,               0.001184,               0.001184
                     18,                 1.8776,                 1.3601,                 1.5989,                 0.5914,                0.66513,                0.66193,                0.35983,                 1.6101,                 1.2469,                 1.7238,              0.0011799,              0.0011799,              0.0011799
                     19,                 1.8416,                 1.3355,                 1.5828,                0.67915,                0.68292,                0.69605,                0.38165,                 1.5051,                 1.1906,                 1.6816,              0.0011757,              0.0011757,              0.0011757
                     20,                 1.8702,                 1.3336,                 1.5769,                0.59782,                0.67361,                 0.6738,                0.37425,                 1.5354,                 1.2104,                 1.6828,              0.0011716,              0.0011716,              0.0011716
                     21,                 1.8218,                 1.3069,                 1.5604,                0.63336,                0.66126,                0.65012,                0.35044,                 1.6577,                    1.2,                 1.7407,              0.0011675,              0.0011675,              0.0011675
                     22,                 1.8245,                 1.2964,                 1.5698,                0.64068,                0.64452,                0.67505,                0.37963,                 1.5643,                 1.1657,                 1.6961,              0.0011634,              0.0011634,              0.0011634
                     23,                 1.8549,                 1.2884,                 1.5636,                 0.6063,                0.67735,                0.68296,                0.37683,                 1.5842,                 1.1487,                  1.688,              0.0011593,              0.0011593,              0.0011593
                     24,                 1.8485,                 1.2868,                 1.5562,                0.63343,                0.66396,                0.66988,                0.36416,                 1.5645,                 1.1922,                 1.6991,              0.0011551,              0.0011551,              0.0011551
                     25,                 1.8409,                  1.263,                 1.5595,                0.66287,                0.69434,                0.70458,                0.39848,                 1.5612,                 1.1032,                 1.6825,               0.001151,               0.001151,               0.001151
                     26,                 1.8349,                 1.2528,                 1.5556,                0.61056,                0.72711,                 0.6915,                0.37161,                 1.7033,                 1.1853,                 1.7053,              0.0011469,              0.0011469,              0.0011469
                     27,                  1.842,                 1.2482,                 1.5607,                0.61806,                0.68258,                0.69085,                0.38953,                 1.6704,                 1.1663,                 1.6823,              0.0011428,              0.0011428,              0.0011428
                     28,                 1.8589,                  1.249,                 1.5614,                0.63779,                0.71507,                0.69182,                0.38099,                 1.6325,                 1.1349,                 1.6901,              0.0011386,              0.0011386,              0.0011386
